,TOTAL,PRECIPITACION_LAG1,day_sin,day_cos
81,0.716254109618943,0.0,0.993679292797482,0.5792719004812583
82,0.6005534342813582,0.0,0.9949708311041507,0.5707621979347611
83,0.2914127014510859,0.0,0.9961156988712179,0.5622315242777887
84,0.1252413718991057,0.0,0.9971135568496559,0.5536824073330523
85,0.2098449510875588,0.037037037037037035,0.9979641093526099,0.5451173803884077
86,0.1027648206543823,0.0,0.9986671043430173,0.5365389814461871
87,0.690919715088808,0.0,0.9992223335082902,0.527949752471134
88,0.6991742142610073,0.0,0.9996296323220443,0.5193522386371643
89,0.7153406743972839,0.0,0.9998888800928507,0.510748987573177
90,0.6984018241838691,0.0,1.0,0.5021425486081355
91,0.6607897856449625,0.48148148148148145,0.9999629591162655,0.4935354720156473
92,0.18866803010306368,0.09259259259259259,0.9997777684176605,0.4849303082582625
